Situation,Arabic,Transliteration,English
"Dictionary","زَيت","zayt","Oil Noun"
"Dictionary","قدِيم","qdim","Old Adjective"
"Dictionary","تَذكِرة ذَهاب","tadhkira dhahab","One-way ticket"
"Dictionary","مَفتوح","maftooH","Open"
"Dictionary","بَرّا","barra","Outside Noun"
"Dictionary","طَرد","Tard","Package"
"Dictionary","وَرَقة","waraqa","Paper Noun"
"Dictionary","بَصُفّ","baSooff","Park (I park)"
"Dictionary","جَواز السَفر","jawaz is-safr","Passport"
"Dictionary","بَدفَع","badfa3","Pay (I pay)"
"Dictionary","قَلم","qalm","Pen Noun"
"Dictionary","بَنزين","banzeen","Petrol"
"Dictionary","صَيدَلية","Saydaleea","Pharmacy Noun"
"Dictionary","بَطاقة تَليفون","baTaqa taleefoon","Phonecard"
"Dictionary","صورة","Soora","Photo Noun"
"Dictionary","صَحن","SaHn","Plate Noun"
"Dictionary","شُرطة","shoorTa","Police"
"Dictionary","بَطاقة مُعايدة","baTaqa moo3aeeda","Postcard"
"Dictionary","مَكتَب البَريد","maktab il-bareed","Post office"
"Dictionary","حامِل","Hamil","Pregnant Adjective"
"Dictionary","حَق","Haq","Price Noun"
"Dictionary","هادي","hadee","Quiet Functional"
"Dictionary","مَطَر","maTar","Rain Verb"
"Dictionary","شِلفة","shilfa","Razor"
"Dictionary","وَصل","waSl","Receipt Noun"
"Dictionary","أحمَر","aHmar","Red Adjective"
"Dictionary","إعادة مالي","i3ada malee","Refund"
"Dictionary","بَريد مُسَجِّل","bareed moosajjil","Registered mail"
"Dictionary","بَستَأجِّر","bastaajjir","Rent (I rent)"
"Dictionary","بَصَلِّح","baSalliH","Repair (I repair)"
"Dictionary","حَجز","Hajz","Reservation Noun"
"Dictionary","مَطعَم","maT3am","Restaurant Noun"
"Dictionary","بَرجَع","barja3","Return (I return)"
"Dictionary","تَذكِرة ذهاب وإياب","tadhkira dhhab wieeab","Return ticket"
"Dictionary","يَمين","yameen","Right"
"Dictionary","طَريق","Tareeq","Road Noun"
"Dictionary","غُرفة","ghoorfa","Room Noun"
"Dictionary","آمِن","aamin","Safe"
"Dictionary","مَنديل نِسائي","mandeel nisa2ee","Sanitary pad"
"Dictionary","مَقعَد","maq3ad","Seat Noun"
"Dictionary","بَبعَت","bab3at","Send (I send)"
"Dictionary","مَحَطة البَنزين","maHaTa il-banzeen","Service station"
"Dictionary","جِنس","jins","Sex"
"Dictionary","شامبو","shamboo","Shampoo"
"Dictionary","بَشارَك","basharak","Share (I share)"
"Dictionary","مَعجون الحَلاقة","ma3joon il-Halaqa","Shaving cream"
"Dictionary","هِيَّ","hia","She Functional"
"Dictionary","شَرشَف","sharshaf","Sheet (bed)"
"Dictionary","قَميص","qameeS","Shirt Noun"
"Dictionary","بوط","booT","Shoes"
"Dictionary","مَحَلّ","maHall","Shop Noun"
"Dictionary","قَصِير","qaSir","Short Adjective"
"Dictionary","دوش","doosh","Shower"
"Dictionary","غُرفة مِفرِد","ghoorfa mifrid","Single room"
"Dictionary","جِلد","jild","Skin Noun"
"Dictionary","تَنورة","tanoora","Skirt Noun"
"Dictionary","بَنام","banam","Sleep (I sleep)"
"Dictionary","شوَي شوَي","shway shway","Slowly"
"Dictionary","صغِير","Sghir","Small Adjective"
"Dictionary","بَدَخِّن","badakhkhin","Smoke (I smoke)"
"Dictionary","صابون","Saboon","Soap Noun"
"Dictionary","شوَي","shway","Some Adjective"
"Dictionary","قَريب","qareeb","Soon Noun"
"Dictionary","جَنوب","janoob","South"
"Dictionary","مَحَلّ التَذكارات","maHall it-tadhkarat","Souvenir shop"
"Dictionary","بَحكي","baHkee","Speak (I speak)"
"Dictionary","مَعلَقة","ma3laqa","Spoon Noun"
"Dictionary","طابَع","Taba3","Stamp"
"Dictionary","محَطة","mHaTa","Station Noun"
"Dictionary","معِدة","m3ida","Stomach Noun"
"Dictionary","بَوَقِّف","bawaqqif","Stop (I stop)"
"Dictionary","مَوقِف","mawqif","Stop (bus) Noun"
"Dictionary","شارِع","shari3","Street Noun"
"Dictionary","طالِب","Talib","Student Noun"
"Dictionary","شَمس","shams","Sun Noun"
"Dictionary","مَعجون واقي في الشَمس","ma3joon waqee fee ish-shams","Sunscreen"
"Dictionary","بَسبَح","basbaH","Swim (I swim)"
"Dictionary","صَمام النِسائي","Samam in-nisa2ee","Tampons"
"Dictionary","تاكسي","taksee","Taxi Noun"
"Dictionary","مَعلَقة شاي","ma3laqa shaee","Teaspoon"
"Dictionary","إسنان","isnan","Teeth"
"Dictionary","تَلِفون","talifoon","Telephone Noun"
"Dictionary","تلفزيون","tlfzeeoon","Television Noun"
"Dictionary","دَرَجة","daraja","Temperature Noun"
"Dictionary","خَيمة","khayma","Tent Noun"
"Dictionary","هُمَّ","hoomma","They Functional"
"Dictionary","عَطشان","3aTshan","Thirsty Adjective"
"Dictionary","حَلق","Halq","Throat"
"Dictionary","تَذكِرة","tadhkira","Ticket Noun"
"Dictionary","وَقت","waqt","Time Noun"
"Dictionary","تَعبان","ta3ban","Tired Adjective"
"Dictionary","مَحارِم","maHarim","Tissues"
"Dictionary","اليوم","il-eeoom","Today Functional"
"Dictionary","حَمّام","Hammam","Toilet Noun"
"Dictionary","بُكرا","bookra","Tomorrow Functional"
"Dictionary","لَيلة اليوم","layla il-eeoom","Tonight"
"Dictionary","فَرشاة الإسنان","farshaa il-isnan","Toothbrush"
"Dictionary","مَعجون الإسنان","ma3joon il-isnan","Toothpaste"
"Dictionary","مِشعَل كَهرِبائي","mish3al kahriba2ee","Torch"
"Dictionary","دَورة","dawra","Tour"
"Dictionary","مَكتَب السياحة","maktab is-seeaHa","Tourist office"
"Dictionary","مَنشَفة","manshafa","Towel"
"Dictionary","قطار","qTar","Train Noun"
"Dictionary","بَتَرجِّم","batarjjim","Translate (I translate)"
"Dictionary","وَكالة السَفر","wakala is-safr","Travel agency"
"Dictionary","شيك سياحي","sheek seeaHee","Travellers cheque"
"Dictionary","بَنَطلون","banaTloon","Trousers Noun"
"Dictionary","عَجل","3ajl","Tyre Noun"
"Dictionary","لِباس تَحتية","libas taHteea","Underwear"
"Dictionary","مِستَعجِل","mista3jil","Urgent Adjective"
"Dictionary","فاضي","faDee","Vacant Adjective"
"Dictionary","عُطلة","3ooTla","Vacation Noun"
"Dictionary","خَضراوات","khaDraooat","Vegetable"
"Dictionary","نَباتي","nabatee","Vegetarian Noun"
"Dictionary","فيزة","feeza","Visa Noun"
"Dictionary","غَرسُن","gharsoon","Waiter"
"Dictionary","بَمشي","bamshee","Walk (I walk)"
"Dictionary","مَحفَظة","maHfaZa","Wallet Noun"
"Dictionary","دافي","dafee","Warm Adjective"
"Dictionary","بَغَسِّل","baghassil","Wash (I wash)"
"Dictionary","ساعة يَد","sa3a yad","Watch"
"Dictionary","مَي","may","Water Noun"
"Dictionary","إحنا","iHna","We Functional"
"Dictionary","نَهاية الأُسبوع","nahaeea il-oosboo3","Weekend"
"Dictionary","غَرب","gharb","West"
"Dictionary","كُرسي المُقَعِّدين","koorsee il-mooqa33ideen","Wheelchair"
"Dictionary","أيمتى","aeemta","When Functional"
"Dictionary","وَين","wayn","Where Functional"
"Dictionary","أبيَض","abyaD","White Adjective"
"Dictionary","مين","meen","Who Functional"
"Dictionary","لَيش","laysh","Why Functional"
"Dictionary","زُوجة","zooja","Wife Noun"
"Dictionary","شُبّاك","shoobbak","Window Noun"
"Dictionary","نَبيذ","nabeedh","Wine Noun"
"Dictionary","مَع","ma3","With Functional"
"Dictionary","بِدُون","bidoon","Without Functional"
"Dictionary","مَرة","mara","Woman Noun"
"Dictionary","بَكتُب","baktoob","Write (I write)"
"Dictionary","أصفَر","aSfar","Yellow Adjective"
"Dictionary","آه","aah","Yes Functional"
"Dictionary","مبارِح","mbariH","Yesterday Noun"
"Dictionary","إنتَ","inta","You (sg) Functional"
"Dictionary","إنتو","intoo","You (pl) Functional"
